Scheme1,Date,Close,Adj Close,Current value Tata,Scheme 2,Close,Adj Close,Current Value Mahindra
Tata Motors,05/10/17,423.299988,423.299988,,M&M,650,633.174683,
Tata Motors,06/10/17,424.850006,424.850006,,M&M,651,634.148804,
Tata Motors,09/10/17,425.600006,425.600006,,M&M,652.450012,635.561218,
Tata Motors,10/10/17,423.600006,423.600006,,M&M,651.400024,634.538452,
Tata Motors,11/10/17,415.5,415.5,,M&M,659.849976,642.769714,
Tata Motors,12/10/17,420.149994,420.149994,,M&M,669.549988,652.218628,
Tata Motors,13/10/17,424.799988,424.799988,,M&M,663.200012,646.03302,
Tata Motors,16/10/17,437.049988,437.049988,,M&M,683.650024,665.953613,
Tata Motors,17/10/17,432.299988,432.299988,,M&M,686.700012,668.924744,
Tata Motors,18/10/17,433.200012,433.200012,,M&M,685.650024,667.901917,
Tata Motors,19/10/17,426.950012,426.950012,,M&M,687.224976,669.436096,
Tata Motors,23/10/17,422.75,422.75,,M&M,683.525024,665.83197,
Tata Motors,24/10/17,416.049988,416.049988,,M&M,676.25,658.745178,
Tata Motors,25/10/17,421.950012,421.950012,,M&M,682.200012,664.541199,
Tata Motors,26/10/17,419.399994,419.399994,,M&M,685.724976,667.974915,
Tata Motors,27/10/17,429.899994,429.899994,,M&M,692.974976,675.037231,
Tata Motors,30/10/17,436.549988,436.549988,,M&M,687.224976,669.436096,
Tata Motors,31/10/17,428.399994,428.399994,,M&M,672.5,655.092285,
